,b,y,x,r
2448,0.04223529411764704,23,56,0.5023739005864873
2449,0.05400000000000005,23,57,0.5037043031234971
2450,0.06066666666666665,23,58,0.5053255940268454
2451,0.04890196078431375,23,59,0.5072349839776932
2452,0.05062745098039212,23,60,0.5094292335172054
2453,0.06066666666666665,23,61,0.5119046795564721
2454,0.0936078431372549,23,62,0.5146572645368095
2455,0.10082352941176476,23,63,0.5176825677266128
2456,0.14094117647058824,23,64,0.5209758381291177
2457,0.1566274509803922,23,65,0.524532028478209
2458,0.14368627450980387,23,66,0.5283458298154748
2459,0.15627450980392155,23,67,0.5324117061693432
2460,0.15517647058823525,23,68,0.5367239288942778
2461,0.15999999999999992,23,69,0.5412766102724914
2462,0.1499607843137255,23,70,0.5460637360301978
2463,0.154156862745098,23,71,0.551079196472927
2464,0.15443137254901962,23,72,0.5563168159979046
2465,0.16619607843137252,23,73,0.5617703807941962
2466,0.17011764705882348,23,74,0.5674336645917971
2467,0.16227450980392155,23,75,0.573300452367959
2468,0.16956862745098034,23,76,0.5793645619619368
2469,0.1426666666666666,23,77,0.5856198635874619
2470,0.14988235294117647,23,78,0.5920602972652856
2471,0.1301960784313725,23,79,0.5986798882260281
2520,0.1346666666666667,24,24,0.5954417373528635
2521,0.21701960784313723,24,25,0.5885330981470075
2522,0.18172549019607842,24,26,0.5817980703354421
2523,0.13074509803921575,24,27,0.575242751954671
2524,0.11850980392156862,24,28,0.5688733555946635
2525,0.11850980392156862,24,29,0.5626961948809428
2526,0.11623529411764699,24,30,0.5567176688055281
2527,0.1397647058823529,24,31,0.5509442438086106
2528,0.15380392156862743,24,32,0.5453824335365342
2529,0.15180392156862743,24,33,0.54003877623133
2530,0.15180392156862743,24,34,0.5349198097429587
2531,0.14823529411764702,24,35,0.5300320441975788
2532,0.09890196078431368,24,36,0.5253819324033662
2533,0.13647058823529412,24,37,0.5209758381291177
2534,0.1448627450980392,24,38,0.5168200024491973
2535,0.1468627450980392,24,39,0.5129205084100754
2536,0.12078431372549026,24,40,0.5092832443371
2537,0.10764705882352943,24,41,0.5059138661632083
2538,0.09807843137254901,24,42,0.5028177592216659
2539,0.1104705882352941,24,43,0.5
2540,0.09807843137254901,24,44,0.49746531839929603
2541,0.10564705882352943,24,45,0.49521806107919397
2542,0.17231372549019608,24,46,0.49326215649162647
2543,0.1468627450980392,24,47,0.49160108221332616
2544,0.14211764705882357,24,48,0.4902378351766288
2545,0.13701960784313727,24,49,0.48917490536906294
2546,0.13584313725490194,24,50,0.4884142535244094
2547,0.1468627450980392,24,51,0.48795729326201354
2548,0.1468627450980392,24,52,0.4878048780487805
2549,0.15023529411764702,24,53,0.48795729326201354
2550,0.1007058823529412,24,54,0.4884142535244094
2551,0.07635294117647062,24,55,0.48917490536906294
2552,0.05062745098039212,24,56,0.4902378351766288
2553,0.06039215686274513,24,57,0.49160108221332616
2554,0.052549019607843084,24,58,0.49326215649162647
2555,0.027294117647058802,24,59,0.49521806107919397
2556,0.06239215686274513,24,60,0.49746531839929603
2557,0.06850980392156858,24,61,0.5
2558,0.1104705882352941,24,62,0.5028177592216659
2559,0.10984313725490202,24,63,0.5059138661632083
2560,0.1330980392156863,24,64,0.5092832443371
2561,0.17623529411764705,24,65,0.5129205084100754
2562,0.14760784313725495,24,66,0.5168200024491973
2563,0.16803921568627445,24,67,0.5209758381291177
2564,0.1630196078431373,24,68,0.5253819324033662
2565,0.13647058823529412,24,69,0.5300320441975788
2566,0.1381960784313725,24,70,0.5349198097429587
2567,0.1306274509803922,24,71,0.54003877623133
2568,0.12972549019607849,24,72,0.5453824335365342
2569,0.18070588235294116,24,73,0.5509442438086106
2570,0.19639215686274514,24,74,0.5567176688055281
2571,0.16894117647058826,24,75,0.5626961948809428
2572,0.18882352941176472,24,76,0.5688733555946635
2573,0.1747843137254902,24,77,0.575242751954671
2574,0.1577254901960784,24,78,0.5817980703354421
2575,0.16866666666666663,24,79,0.5885330981470075
2576,0.13254901960784315,24,80,0.5954417373528635
2623,0.1601960784313725,25,23,0.5926879453767252
2624,0.20133333333333336,25,24,0.5854928723979417
2625,0.1974117647058824,25,25,0.5784654256405571
2626,0.1974117647058824,25,26,0.5716117875735593
2627,0.1738823529411765,25,27,0.5649382839951449
2628,0.13047058823529412,25,28,0.5584513727734298
2629,0.157921568627451,25,29,0.5521576303742327
2630,0.15180392156862743,25,30,0.5460637360301978
2631,0.1719607843137254,25,31,0.5401764534231732
2632,0.15607843137254895,25,32,0.5345026097758812
2633,0.14003921568627442,25,33,0.5290490722800942
2634,0.15847058823529414,25,34,0.5238227218271836
2635,0.13027450980392152,25,35,0.5188304240532353
2636,0.12243137254901959,25,36,0.514078997764829
2637,0.14203921568627442,25,37,0.5095751808725897
2638,0.11349019607843136,25,38,0.5053255940268454
2639,0.1330980392156863,25,39,0.5013367022218163
2640,0.1468627450980392,25,40,0.4976147747098333
2641,0.1213333333333333,25,41,0.49416584364280025
2642,0.1053725490196078,25,42,0.4909956619316438
2643,0.12105882352941177,25,43,0.48810966088267077
2644,0.1448627450980392,25,44,0.48551290822913123
2645,0.12945098039215686,25,45,0.48321006722338905
2646,0.14988235294117647,25,46,0.48120535748655757
2647,0.15470588235294125,25,47,0.4795025183253049
2648,0.1468627450980392,25,48,0.4781047752173819
2649,0.1397647058823529,25,49,0.47701481013677915
2650,0.19156862745098047,25,50,0.47623473633577157
2651,0.1566274509803922,25,51,0.47576607812515026
2652,0.11768627450980396,25,52,0.47560975609756095
2653,0.14094117647058824,25,53,0.47576607812515026
2654,0.09752941176470586,25,54,0.47623473633577157
2655,0.0796470588235294,25,55,0.47701481013677915
2656,0.07517647058823529,25,56,0.4781047752173819
2657,0.09086274509803927,25,57,0.4795025183253049
2658,0.08576470588235297,25,58,0.48120535748655757
2659,0.09752941176470586,25,59,0.48321006722338905
2660,0.08749019607843134,25,60,0.48551290822913123
2661,0.07180392156862747,25,61,0.48810966088267077
2662,0.0998039215686275,25,62,0.4909956619316438
2663,0.12470588235294122,25,63,0.49416584364280025
2664,0.12525490196078426,25,64,0.4976147747098333
2665,0.1566274509803922,25,65,0.5013367022218163
2666,0.1750588235294117,25,66,0.5053255940268454
2667,0.15235294117647058,25,67,0.5095751808725897
2668,0.17141176470588237,25,68,0.514078997764829
2669,0.1448627450980392,25,69,0.5188304240532353
2670,0.1306274509803922,25,70,0.5238227218271836
2671,0.1233333333333333,25,71,0.5290490722800942
2672,0.10866666666666669,25,72,0.5345026097758812
2673,0.1674901960784314,25,73,0.5401764534231732
2674,0.17141176470588237,25,74,0.5460637360301978
2675,0.1910196078431372,25,75,0.5521576303742327
2676,0.18619607843137254,25,76,0.5584513727734298
2677,0.20945098039215693,25,77,0.5649382839951449
2678,0.1694901960784314,25,78,0.5716117875735593
2679,0.17431372549019608,25,79,0.5784654256405571
2680,0.12945098039215686,25,80,0.5854928723979417
2681,0.09925490196078435,25,81,0.5926879453767252
2725,0.16411764705882348,26,21,0.598058528548255
2726,0.15627450980392155,26,22,0.5904252896053759
2727,0.15427450980392154,26,23,0.5829472391569327
2728,0.1974117647058824,26,24,0.5756304254246803
2729,0.16211764705882348,26,25,0.5684810741856909
2730,0.15427450980392154,26,26,0.5615055821083579
2731,0.1738823529411765,26,27,0.5547105080753248
2732,0.1947843137254902,26,28,0.5481025622986397
2733,0.16066666666666662,26,29,0.5416885930368979
2734,0.17023529411764704,26,30,0.53547557073415
2735,0.15964705882352948,26,31,0.5294705694168881
2736,0.13254901960784315,26,32,0.5236807452093631
2737,0.14003921568627442,26,33,0.5181133118597073
2738,0.15254901960784317,26,34,0.5127755132104546
2739,0.11141176470588232,26,35,0.507674592597528
2740,0.12827450980392152,26,36,0.5028177592216659
2741,0.13811764705882346,26,37,0.498212151605256
2742,0.13584313725490194,26,38,0.4938647983247948
2743,0.13701960784313727,26,39,0.48978257629324884
2744,0.13254901960784315,26,40,0.48597216695539697
2745,0.14121568627450976,26,41,0.48244001085006055
2746,0.12188235294117644,26,42,0.47919226108264634
2747,0.1233333333333333,26,43,0.47623473633577157
2748,0.15607843137254895,26,44,0.47357287412067317
2749,0.16556862745098044,26,45,0.47121168503321115
2750,0.1747843137254902,26,46,0.4691557088212523
2751,0.1566274509803922,26,47,0.4674089730911415
2752,0.1403921568627451,26,48,0.46597495547665363
2753,0.1459607843137255,26,49,0.4648565500620956
2754,0.14003921568627442,26,50,0.4640560387912304
2755,0.18517647058823528,26,51,0.46357506850605396
2756,0.11294117647058821,26,52,0.4634146341463415
2757,0.13701960784313727,26,53,0.46357506850605396
2758,0.16647058823529415,26,54,0.4640560387912304
2759,0.11294117647058821,26,55,0.4648565500620956
