WFC3_UVIS_F606W,WFC3_UVIS_F814W,color,mag
21.457378367101438,20.69837491194155,0.7590034551598883,21.457378367101438
21.435243060016866,20.67891769331136,0.7563253667055072,21.435243060016866
21.413637821102217,20.65986495219819,0.7537728689040257,21.413637821102217
21.391957733658913,20.640729441841895,0.7512282918170179,21.391957733658913
21.370184803222116,20.621503304844875,0.7486814983772412,21.370184803222116
21.34834082296286,20.602205048253996,0.7461357747088648,21.34834082296286
21.32641909549654,20.582822883392602,0.7435962121039381,21.32641909549654
21.304417321220594,20.563357529199024,0.74105979202157,21.304417321220594
21.28233365437479,20.54379542264047,0.7385382317343172,21.28233365437479
21.260170813727996,20.524155717350276,0.7360150963777201,21.260170813727996
21.23792465626822,20.504425126847558,0.7334995294206621,21.23792465626822
21.215222815377444,20.484249565195793,0.7309732501816519,21.215222815377444
